41	52	45	44	57	39	39	39	44	47	47	57	39	39	40	45	57	39	45	49	40	48	44	49	49	47	47	42	57	38	44	45	47
39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39
27	30	30	30	26	25	25	30	30	30	30	26	25	24	30	30	25	30	30	28	30	30	30	30	30	27	25	25	21	25	30	30	30
9	10	10	10	9	9	9	10	10	10	10	9	9	9	10	10	9	10	10	10	10	10	10	10	10	10	10	10	9	10	10	10	10
35	39	32	27	34	38	38	36	39	39	39	38	38	38	37	32	38	39	37	39	38	27	27	27	27	37	39	35	28	39	27	33	33
16	18	18	18	16	18	18	16	18	18	18	16	18	16	18	18	17	18	18	18	16	18	18	18	18	18	18	18	16	17	18	18	18
29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
2	3	2	2	2	1	2	2	2	1	2	2	1	1	2	2	2	1	2	3	2	2	2	2	2	2	3	3	2	2	2	2	1
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
12	9	12	9	12	10	10	12	9	12	9	12	10	10	12	9	12	10	12	10	12	8	8	9	9	8	9	9	12	9	9	8	8
83	83	84	83	84	83	83	83	83	83	83	83	83	83	83	83	84	83	84	83	83	83	83	83	83	83	83	83	84	83	83	83	83
15	15	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	13	13	15	15	15	15	15	13	14	15
59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59
76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76
156	156	156	156	155	156	156	155	156	155	156	156	156	156	156	155	155	155	156	155	156	155	153	156	155	155	157	156	155	156	153	153	155
21	15	21	15	21	21	16	15	21	15	21	21	16	21	15	10	21	21	21	21	15	14	10	10	15	15	16	21	21	21	15	14	15
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24	24	23	25	25	24	24	24	24	24	24	25	24	24	24	25	25	24	24	24	25	25	25	25	25	24	24	24	25	24	25	25	25
8	8	8	8	11	8	8	8	8	8	8	11	8	8	8	9	11	8	8	8	8	8	8	9	11	8	8	8	11	8	8	11	8
71	67	71	66	86	72	72	67	70	70	73	86	74	74	69	67	86	72	72	73	68	66	67	68	66	68	72	71	86	68	66	66	66
47	48	46	45	47	48	47	47	46	48	48	48	48	48	46	44	48	48	49	48	47	44	44	44	46	48	44	45	46	47	44	42	44
69	70	69	70	69	69	69	71	69	70	70	69	69	69	70	70	69	69	69	70	70	72	71	71	70	69	70	70	68	70	71	70	70
29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	28	28
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
110	113	115	113	110	110	110	113	113	113	113	110	110	110	113	113	113	113	115	113	110	113	113	113	113	113	113	113	110	110	113	113	113
10	12	12	12	10	12	12	10	12	12	12	12	12	12	12	12	12	12	12	12	10	12	12	12	12	12	12	12	10	12	12	12	12
69	69	69	68	69	69	69	66	69	69	69	69	69	69	69	69	69	69	69	69	69	68	69	68	68	69	68	69	69	69	68	68	69
36	37	36	35	36	36	36	36	36	36	36	36	37	36	36	36	36	36	36	36	36	35	36	35	35	36	36	36	36	36	35	35	36
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
18	18	17	18	17	17	17	18	17	18	18	18	18	18	18	17	18	18	18	18	18	17	17	17	18	18	17	17	17	18	17	17	16
13	13	13	13	13	13	13	13	13	13	13	13	13	13	12	13	13	13	13	13	13	13	13	13	13	12	12	12	13	13	12	12	13
27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
1	2	1	3	2	2	5	0	3	0	0	4	7	5	4	4	1	0	4	2	2	2	0	1	3	0	0	3	2	6	0	1	3
1	2	1	1	2	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1
80	73	74	73	87	74	74	80	75	75	74	85	76	77	82	79	85	75	77	77	85	71	73	76	79	74	72	72	86	73	77	73	73
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
11	12	11	11	13	11	11	12	11	11	11	12	11	11	12	11	12	11	11	11	11	11	12	11	11	11	11	13	11	11	11	12	11
16	15	15	15	15	15	15	15	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16	15	16	15	16	15
